artistid,artistname
/artist/232934771,Akshin Alizadeh
/artist/354450,Al Green
/artist/4604,Al Martino
/artist/198820448,Alan Walker
/artist/232681757,Alana Marie
/artist/232941226,Albert Bennett
/artist/698013,Albert King
/artist/239722842,Alex Belmonte
/artist/232678822,Alex Latino
/artist/232726545,Alex M
/artist/241853,Alexandre Desplat
/artist/92489,Alfie Zappacosta
/artist/2803,Alice Cooper
/artist/239579471,Alice Hart
/artist/239642494,Alice Lamb
/artist/104674,Alicia Keys
/artist/340507459,Alienkey
/artist/8360,Alihan Samedov
/artist/239662688,Aliotta Haynes Jeremiah
/artist/211673998,Alison Burns
/artist/11716,Alizée
/artist/239845418,All These fallen Trees
/artist/808594,All-4-One
/artist/239809485,All-Star Nation
/artist/232725297,Allegrow
/artist/239564679,Allie Crystal
/artist/239545352,Allman Brown
/artist/87964355,Allo Darlin'
/artist/239660507,Alma Thomas
/artist/87998085,Alondra Bentley
/artist/239634203,Alpha Jones
/artist/842914,Alphaville
/artist/232669984,Amal Hijazi
/artist/88016755,Amber Rose Guitar Duo
/artist/232612685,Amelia Curran
/artist/820132,American Hi-Fi
/artist/87971507,Ameritz
/artist/232934139,Ameritz - Karaoke
/artist/232934128,Ameritz Countdown Karaoke
/artist/239610587,Ameritz Karaoke Band
/artist/239622603,Ameritz Sound Effects
/artist/239617405,Ameritz Tribute Club
/artist/239617480,Ameritz Tribute Tracks
/artist/4736,Amine
/artist/239853782,Amy Bezunartea
/artist/97358,Amy Diamond
/artist/239639552,An7
/artist/239619045,Andre Kostelanetz Orchestra
/artist/232664645,Andreas Weise
/artist/239632241,Andrej Hrasko
/artist/87954436,Andrew Belle
/artist/239668572,Andrew Boss
/artist/211673020,Andrew Fitzgerald
/artist/239883689,Andrew Small
/artist/239549508,Andrew Watt
/artist/92455184,Andrew Wyatt
/artist/55799,Andy williams
/artist/239763280,Angaleena Presley
/artist/87928102,Angelababy
/artist/232611863,Angèle Dubeau
/artist/239765572,Ani Yan
/artist/10169,Anibal Troilo
